1.0000000000,0.8659001162,0.8864085016,0.8552155654,0.9362975173,0.9120132436,0.9150749056,0.9284603419,0.9272993440,0.9072731995
0.8659001162,1.0000000000,0.8264201766,0.8609595973,0.8628548205,0.8088034047,0.8720744138,0.8988160245,0.8969717073,0.8733644045
0.8864085016,0.8264201766,1.0000000000,0.7542581482,0.8667133432,0.7849193994,0.8493474242,0.9179691931,0.8436963387,0.8354794272
0.8552155654,0.8609595973,0.7542581482,1.0000000000,0.8069407223,0.8285864117,0.8672673752,0.8394604556,0.9142601990,0.8871400800
0.9362975173,0.8628548205,0.8667133432,0.8069407223,1.0000000000,0.8981140262,0.8716461610,0.9296634500,0.9050517247,0.8950581585
0.9120132436,0.8088034047,0.7849193994,0.8285864117,0.8981140262,1.0000000000,0.8470943141,0.8358499189,0.8513718193,0.8843700534
0.9150749056,0.8720744138,0.8493474242,0.8672673752,0.8716461610,0.8470943141,1.0000000000,0.8799496439,0.8879259723,0.8679527551
0.9284603419,0.8988160245,0.9179691931,0.8394604556,0.9296634500,0.8358499189,0.8799496439,1.0000000000,0.9241142813,0.8847310436
0.9272993440,0.8969717073,0.8436963387,0.9142601990,0.9050517247,0.8513718193,0.8879259723,0.9241142813,1.0000000000,0.8875537005
0.9072731995,0.8733644045,0.8354794272,0.8871400800,0.8950581585,0.8843700534,0.8679527551,0.8847310436,0.8875537005,1.0000000000
