1.0000000000,0.8577151948,0.5206051889,0.8210345794,0.9534862638,0.9514023760,0.8177919136,0.6346498956,0.8952992357,0.9228063831
0.8577151948,1.0000000000,0.7346959051,0.9024301610,0.8825683536,0.7783770332,0.9488749824,0.7956166970,0.9123645536,0.8474710250
0.5206051889,0.7346959051,1.0000000000,0.6366274203,0.6404799125,0.3646188304,0.6596957284,0.9173941663,0.6400513988,0.6397457917
0.8210345794,0.9024301610,0.6366274203,1.0000000000,0.8088500506,0.7975037000,0.9252479650,0.6858103073,0.9362478119,0.7705825180
0.9534862638,0.8825683536,0.6404799125,0.8088500506,1.0000000000,0.8754742533,0.8163971088,0.7487497489,0.8947965769,0.9715797725
0.9514023760,0.7783770332,0.3646188304,0.7975037000,0.8754742533,1.0000000000,0.7638863776,0.4662783593,0.8516474207,0.8340895999
0.8177919136,0.9488749824,0.6596957284,0.9252479650,0.8163971088,0.7638863776,1.0000000000,0.7385226250,0.9090393261,0.7875167625
0.6346498956,0.7956166970,0.9173941663,0.6858103073,0.7487497489,0.4662783593,0.7385226250,1.0000000000,0.7390613814,0.7560795640
0.8952992357,0.9123645536,0.6400513988,0.9362478119,0.8947965769,0.8516474207,0.9090393261,0.7390613814,1.0000000000,0.8475538662
0.9228063831,0.8474710250,0.6397457917,0.7705825180,0.9715797725,0.8340895999,0.7875167625,0.7560795640,0.8475538662,1.0000000000
