1.0000000000,0.0735010295,0.8444839171,0.7119311623,0.8908462260,0.9140765453,0.5433858567,0.8468713202,0.6791269939,0.8321450212
0.0735010295,1.0000000000,0.1321023318,0.2118763018,0.0867470665,0.0795742288,0.3231181138,0.0828600118,0.1330398308,0.1151190164
0.8444839171,0.1321023318,1.0000000000,0.6451841810,0.8170559504,0.8541314334,0.4035025652,0.9263932887,0.5955852826,0.7937862895
0.7119311623,0.2118763018,0.6451841810,1.0000000000,0.7396683311,0.7191656581,0.6063162520,0.7017212952,0.9114224912,0.7299145892
0.8908462260,0.0867470665,0.8170559504,0.7396683311,1.0000000000,0.9066744498,0.4922386111,0.8256831593,0.6832150459,0.9089745362
0.9140765453,0.0795742288,0.8541314334,0.7191656581,0.9066744498,1.0000000000,0.5149557055,0.8723811724,0.6830949001,0.8308314801
0.5433858567,0.3231181138,0.4035025652,0.6063162520,0.4922386111,0.5149557055,1.0000000000,0.5076772450,0.6661204137,0.4107922911
0.8468713202,0.0828600118,0.9263932887,0.7017212952,0.8256831593,0.8723811724,0.5076772450,1.0000000000,0.6782683634,0.7409343783
0.6791269939,0.1330398308,0.5955852826,0.9114224912,0.6832150459,0.6830949001,0.6661204137,0.6782683634,1.0000000000,0.6724544417
0.8321450212,0.1151190164,0.7937862895,0.7299145892,0.9089745362,0.8308314801,0.4107922911,0.7409343783,0.6724544417,1.0000000000
