1.0000000000,0.9500281831,0.9592555831,0.9481641348,0.9299273026,0.9885676397,0.9441483789,0.9565058728,0.9010219615,0.9595881362
0.9500281831,1.0000000000,0.9317692828,0.9543636672,0.9471697861,0.9483491825,0.9559491855,0.9174207672,0.9520205716,0.9564666482
0.9592555831,0.9317692828,1.0000000000,0.9257451053,0.8953052710,0.9476828688,0.9526108076,0.9790515657,0.8667350326,0.9282673495
0.9481641348,0.9543636672,0.9257451053,1.0000000000,0.9522761994,0.9561063320,0.9276773482,0.9205578808,0.9323784366,0.9622164259
0.9299273026,0.9471697861,0.8953052710,0.9522761994,1.0000000000,0.9411478075,0.9055542270,0.8912768807,0.9267041800,0.9610171161
0.9885676397,0.9483491825,0.9476828688,0.9561063320,0.9411478075,1.0000000000,0.9325559337,0.9432372159,0.9052194788,0.9661624631
0.9441483789,0.9559491855,0.9526108076,0.9276773482,0.9055542270,0.9325559337,1.0000000000,0.9464340172,0.8960715033,0.9375098082
0.9565058728,0.9174207672,0.9790515657,0.9205578808,0.8912768807,0.9432372159,0.9464340172,1.0000000000,0.8642251414,0.9253612765
0.9010219615,0.9520205716,0.8667350326,0.9323784366,0.9267041800,0.9052194788,0.8960715033,0.8642251414,1.0000000000,0.9349451578
0.9595881362,0.9564666482,0.9282673495,0.9622164259,0.9610171161,0.9661624631,0.9375098082,0.9253612765,0.9349451578,1.0000000000
